name,pos,type,days
Miguel Castro,RP,Shoulder,28
Danny Valencia,3B,Hamstring,15
Keone Kela,RP,Elbow,86
Robbie Erlin,SP,Elbow,726
Cory Spangenberg,2B,Quad,727
George Kontos,RP,Arm,29
Edwin Jackson,SP,Arm,32
Joe Kelly,RP,Shoulder,33
Ehire Adrianza,SS,Foot,110
Cory Luebke,RP,Hamstring,32
Sergio Romo,RP,Elbow,82
Charlie Blackmon,CF,Toe,16
Glen Perkins,RP,Shoulder,734
Pablo Sandoval,3B,Shoulder,734
James McCann,C,Ankle,22
Robinson Chirinos,C,Arm,60
Daniel Winkler,RP,Elbow,736
Ender Inciarte,CF,Hamstring,28
Franklin Morales,RP,Shoulder,104
Yangervis Solarte,3B,Hamstring,42
Carl Crawford,LF,Back,18
Tyson Ross,SP,Shoulder,738
Kyle Schwarber,LF,Knee ACL,197
Matt Thornton,RP,Achilles,52
Andrew Heaney,SP,Abdominal,741
Ben Revere,CF,Oblique,31
Matt Garza,SP,Arm,71
Felix Doubront,SP,Elbow,743
Devon Travis,2B,Shoulder,52
Tommy Pham,CF,Oblique,743
Jeff Ferrell,RP,Shoulder,23
Evan Scribner,RP,Arm,152
Jesse Biddle,RP,Elbow Tommy John,744
Lance Lynn,SP,Elbow Tommy John,744
Javier Baez,2B,Thumb,13
Tyler Anderson,SP,Oblique,37
Jon Gray,SP,Abdominal,20
Zac Rosscup,RP,Shoulder,744
Max Stassi,C,Wrist,36
Blaine Hardy,RP,Shoulder,16
Andre Ethier,CF,Leg,160
Henderson Alvarez,SP,Shoulder,744
Christian Vazquez,C,Elbow Tommy John,13
Aaron Altherr,RF,Wrist,117
Christian Villanueva,3B,Leg,744
Bryan Mitchell,SP,Toe,175
Jairo Diaz,RP,Elbow,744
Brandon Workman,RP,Elbow Tommy John,744
Shae Simmons,RP,Elbow Tommy John,128
Chase Whitley,RP,Elbow Tommy John,137
Greg Bird,1B,Shoulder,191
Jason Vargas,SP,Elbow Tommy John,168
Michael Lorenzen,RP,Elbow,81
Will Smith,RP,Knee,60
Anthony DeSclafani,SP,Oblique,69
Cody Asche,LF,Oblique,61
Corey Knebel,RP,Oblique,744
Eduardo Rodriguez,SP,Knee,58
Lonnie Chisenhall,RF,Wrist,17
Zack Wheeler,SP,Elbow Tommy John,744
Kyle Skipworth,C,Ankle,68
Zack Jones,P,Shoulder,744
Raudel Lazo,RP,Shoulder,18
Michael Mariot,RP,Ankle,46
R.J. Alvarez,RP,Elbow,744
Jon Edwards,RP,Elbow,744
Jimmy Paredes,RF,Wrist,44
Alexander Guerrero,LF,Knee,744
Ryan Cook,RP,Arm,744
Matt Harrison,SP,Back,744
Brandon Beachy,SP,Elbow,744
Jordan Walden,RP,Arm,744
Andrew McKirahan,RP,Elbow Tommy John,744
Brian Matusz,RP,Back,21
C.J. Wilson,SP,Shoulder,744
Dallas Beeler,RP,Undisclosed,744
Yorman Rodriguez,LF,Hamstring,744
Yhonathan Barrios,RP,Shoulder,744
Charlie Furbush,RP,Shoulder,744
Aaron Barrett,RP,Elbow Tommy John,744
Josh Hamilton,LF,Knee,143
Michael Dunn,RP,Arm,59
Mitch Harris,RP,Arm,744
Paco Rodriguez,RP,Elbow Tommy John,744
Mario Hollands,RP,Elbow Tommy John,61
Josh Collmenter,RP,Shoulder,55
Homer Bailey,SP,Elbow Tommy John,117
Adam Ottavino,RP,Elbow Tommy John,95
Ruben Tejada,SS,Quad,16
Tanner Scheppers,RP,Knee,157
Eric Sogard,2B,Knee,744
Sam Fuld,CF,Shoulder,744
Mason Williams,CF,Shoulder,107
Angel Nesbitt,RP,Ankle,36
Daniel Descalso,3B,Hand,40
Josh Edgin,RP,Elbow Tommy John,38
Rymer Liriano,RF,Face,744
Mike Bolsinger,RP,Oblique,45
Tim Collins,RP,Elbow Tommy John,744
Jared Hughes,RP,Shoulder,28
Bo Schultz,RP,Hip,49
Yasmani Grandal,C,Arm,9
Aaron Loup,RP,Elbow,56
A.J. Pollock,CF,Elbow,146
Alex Wilson,RP,Arm,14
Evan Gattis,DH,Groin,9
Jesus Sucre,C,Leg,95
Tyler Skaggs,SP,Elbow,115
Mike Minor,SP,Shoulder,744
John Lamb,SP,Back,31
Howie Kendrick,2B,Calf,9
Kevin Gausman,SP,Shoulder,23
Jarrod Parker,SP,Elbow,744
Tyler Matzek,RP,Undisclosed,47
Jarrod Dyson,RF,Oblique,17
Buddy Baumann,RP,Back,90
Alex Cobb,SP,Elbow Tommy John,149
