pitcher_name,month,type,pitch_type,px,pz
Justin Verlander,4,B,SL,0.764,1.263
Justin Verlander,4,X,SL,0.527,1.444
Justin Verlander,4,S,FF,-0.005,1.823
Justin Verlander,4,S,FF,-0.772,2.437
Justin Verlander,4,S,FF,-0.644,2.785
Justin Verlander,4,B,FF,-0.945,4.007
Justin Verlander,4,X,FF,0.951,1.827
Justin Verlander,4,B,SL,1.355,1.306
Justin Verlander,4,S,CH,-0.547,0.745
Justin Verlander,4,B,FF,1.317,2.421
Justin Verlander,4,X,FF,-0.266,2.716
Justin Verlander,4,B,FF,1.608,3.553
Justin Verlander,4,B,CH,-0.796,0.69
Justin Verlander,4,B,FF,0.491,3.975
Justin Verlander,4,S,FF,-0.601,3.183
Justin Verlander,4,X,FF,-0.447,3.398
Justin Verlander,4,S,CU,0.314,2.437
Justin Verlander,4,X,FF,0.382,2.169
Justin Verlander,4,B,FF,0.353,3.87
Justin Verlander,4,S,FF,0.059,3.387
Justin Verlander,4,S,CU,0.176,2.745
Justin Verlander,4,B,CH,0.419,0.949
Justin Verlander,4,B,CU,1.686,1.449
Justin Verlander,4,B,FF,1.343,3.101
Justin Verlander,4,B,FF,-0.36,1.722
Justin Verlander,4,S,FF,-0.248,2.379
Justin Verlander,4,S,FF,-0.465,2.37
Justin Verlander,4,S,FF,-0.879,3.353
Justin Verlander,4,X,CH,0.115,1.141
Justin Verlander,4,B,SL,0.948,3.293
Justin Verlander,4,S,FF,0.4,2.411
Justin Verlander,4,S,CU,0.526,1.448
Justin Verlander,4,X,FF,0.517,2.491
Justin Verlander,4,S,FF,0.044,2.312
Justin Verlander,4,S,FF,0.434,2.793
Justin Verlander,4,S,FF,0.717,2.946
Justin Verlander,4,B,SL,1.902,0.962
Justin Verlander,4,X,CU,1.164,1.928
Justin Verlander,4,S,FF,-0.132,3.419
Justin Verlander,4,S,FF,0.344,3.941
Justin Verlander,4,S,FF,-0.81,3.514
Justin Verlander,4,B,CU,0.729,0.41
Justin Verlander,4,B,CU,-0.464,3.338
Justin Verlander,4,S,FF,0.633,3.089
Justin Verlander,4,S,FF,-1.096,3.008
Justin Verlander,4,B,FF,0.765,4.306
Justin Verlander,4,X,SL,0.381,2.033
Justin Verlander,4,S,CU,0.35,0.682
Justin Verlander,4,X,FF,0.353,1.575
Justin Verlander,4,B,FF,0.778,1.291
Justin Verlander,4,S,FF,0.496,1.622
Justin Verlander,4,S,CU,0.852,0.748
Justin Verlander,4,X,FF,-0.285,3.357
Justin Verlander,4,B,CH,-0.286,0.203
Justin Verlander,4,S,CH,-0.575,1.533
Justin Verlander,4,S,FF,-0.265,1.885
Justin Verlander,4,S,CH,-0.254,1.923
Justin Verlander,4,S,FF,-0.297,2.438
Justin Verlander,4,B,SL,2.1,0.375
Justin Verlander,4,X,CU,-0.028,1.955
Justin Verlander,4,B,FF,1.635,2.645
Justin Verlander,4,B,CU,0.744,1.01
Justin Verlander,4,S,FF,0.945,2.489
Justin Verlander,4,S,FF,0.825,3.126
Justin Verlander,4,S,FF,-0.175,3.494
Justin Verlander,4,S,CH,-0.884,2.774
Justin Verlander,4,S,FF,0.927,2.938
Justin Verlander,4,B,CU,0.692,0.826
Justin Verlander,4,X,CH,-0.205,3.002
Chris Sale,4,S,FT,0.305,3.252
Chris Sale,4,S,FT,0.042,1.77
Chris Sale,4,S,FT,-0.422,2.258
Chris Sale,4,S,FT,-0.572,2.627
Chris Sale,4,S,CU,-0.826,1.866
Chris Sale,4,B,SL,-0.919,1.626
Chris Sale,4,X,FT,0.255,1.651
Chris Sale,4,B,FT,0.298,0.602
Chris Sale,4,B,FT,-0.817,2.036
Chris Sale,4,B,FT,-0.571,3.389
Chris Sale,4,S,FT,-0.161,2.69
Chris Sale,4,S,FT,0.123,1.887
Chris Sale,4,B,FT,1.502,3.721
Chris Sale,4,B,FT,-0.87,1.916
Chris Sale,4,S,CH,-0.009,1.772
Chris Sale,4,B,FT,-1.185,2.537
Chris Sale,4,S,CH,-0.241,1.743
Chris Sale,4,S,SL,0.205,2.493
Chris Sale,4,B,FT,-1.35,2.668
Chris Sale,4,X,FT,-0.919,2.196
Chris Sale,4,S,FT,-0.61,2.977
Chris Sale,4,B,CU,2.176,2.161
Chris Sale,4,S,CU,0.505,1.797
Chris Sale,4,B,CU,-2.728,-0.025
Chris Sale,4,S,FT,-0.336,3.456
Chris Sale,4,B,CH,-0.578,1.268
Chris Sale,4,S,CH,-0.294,1.623
Chris Sale,4,B,CU,2.338,2.098
Chris Sale,4,X,FT,0.785,2.077
Chris Sale,4,B,CH,0.87,3.617
Chris Sale,4,B,CH,-1.04,1.426
Chris Sale,4,B,CH,0.449,0.828
Chris Sale,4,B,FT,0.159,0.877
Chris Sale,4,S,FT,0.093,2.597
Chris Sale,4,X,CU,0.249,2.194
Chris Sale,4,X,FT,-0.28,2.78
Chris Sale,4,X,FT,0.635,2.222
Chris Sale,4,B,CH,-1.492,1.496
Chris Sale,4,S,FT,0.067,1.61
Chris Sale,4,B,FT,1.182,3.075
Chris Sale,4,S,CU,0.501,2.946
Chris Sale,4,S,CU,-0.115,2.24
Chris Sale,4,S,FT,-0.02,2.789
Chris Sale,4,B,CU,-0.882,1.135
Chris Sale,4,S,CU,-0.175,3.064
Chris Sale,4,S,CH,-0.056,1.794
Chris Sale,4,X,CH,-0.253,1.9
Chris Sale,4,B,FT,0.429,1.175
Chris Sale,4,B,CH,1.464,2.838
Chris Sale,4,S,FT,0.776,3.281
Chris Sale,4,S,CH,-0.571,2.159
Chris Sale,4,B,FT,-1.456,3.608
Chris Sale,4,X,FT,0.377,1.737
Chris Sale,4,B,CU,-0.87,1.914
Chris Sale,4,S,CH,0.701,2.898
Chris Sale,4,B,FT,-1.077,2.694
Chris Sale,4,B,FT,0.726,1.693
Chris Sale,4,X,FT,0.901,2.268
Chris Sale,4,B,CH,-0.372,1.261
Chris Sale,4,S,FT,0.152,3.221
Chris Sale,4,X,FT,-0.33,2.486
Chris Sale,4,S,CU,-0.127,1.631
Chris Sale,4,S,CU,0.355,1.834
Chris Sale,4,B,FT,-0.02,4.226
Chris Sale,4,B,CU,-2.38,0.501
Chris Sale,4,X,CH,-0.041,1.597
Chris Sale,4,B,FT,-0.831,1.181
Chris Sale,4,X,FT,0.664,2.361
Chris Sale,4,B,FT,-1.458,1.325
Chris Sale,4,X,FT,0.093,1.987
Chris Sale,4,S,FT,1.214,2.486
Chris Sale,4,S,CU,0.538,3.581
Chris Sale,4,S,FT,0.046,3.907
Chris Sale,4,S,CU,-0.261,2.587
Chris Sale,4,S,FT,0.1,3.711
Chris Sale,4,B,FT,0.181,4.255
Chris Sale,4,S,FT,-0.545,2.731
Chris Sale,4,S,FT,0.394,2.518
Chris Sale,4,X,CH,0.382,2.726
Chris Sale,4,X,CH,0.89,2.215
Chris Sale,4,B,FT,1.398,5.031
Chris Sale,4,X,CH,0.667,2.138
Chris Sale,4,B,FT,1.362,3.316
Chris Sale,4,S,CU,0.095,2.228
Chris Sale,4,S,FT,1.472,2.609
Chris Sale,4,B,FT,0.023,3.581
Chris Sale,4,B,FT,0.335,4.516
Chris Sale,4,S,CU,-0.603,1.976
Chris Sale,4,X,FT,0.514,2.705
Chris Sale,4,B,FT,1.224,2.449
Chris Sale,4,X,CH,0.673,2.894
Chris Sale,4,B,FT,1.653,2.051
Chris Sale,4,B,FT,1.693,2.675
Chris Sale,4,S,FT,-0.359,2.31
Chris Sale,4,S,CH,0.463,1.321
